ID,VO_STR,RXN
VO_0001614,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.22)",
VO_0002404,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract,
VO_0003677,influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluvirin 2015-2016],1657327
VO_0001796,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.01),
VO_0001639,Bursal Disease Live Virus Vaccine (USDA: 1271.0A),
VO_0003169,Diphtheria-Tetanus-Whole Cell Pertussis-Haemophilus b vaccine,
VO_0000941,Apex-IHN,
VO_0004417,B. anthracis DNA vaccine LF pDNA encoding LF,
VO_0003753,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2018-2019],2050792
VO_0011419,Mumps HN Protein Subunit Vaccine,
VO_0007604,Flagrp170 vaccine,
VO_0007120,Vaccinia Melanoma Oncolysates (VMO) Vaccine,
VO_0002103,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.22),
VO_0004412,Herpes simplex virus DNA vaccine pCI-gB encoding gB,
VO_0003397,"tetanus toxoid vaccine, inactivated Injectable Solution",374054
VO_0003326,pneumococcal capsular polysaccharide type 20 vaccine 0.05 MG/ML,854953
VO_0004504,Avian influenza DNA vaccine pCMV-M,
VO_0003738,Afluria 2018-2019 vaccine 0.5 ML Prefilled Syringe,2050803
VO_0005268,authorized COVID-19 recombinant adenoviral vector vaccine,
VO_0001938,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Mannheimia Haemolytica Bacterin (USDA: 44A5.20),
VO_0000639,Clostridium vaccine,
VO_0003976,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",1657886
VO_0000315,inactivated vaccine,
VO_0002355,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
VO_0000743,Diphtheria-Tetanus-Pertussis-Poliovirus-Hepatitis B vaccine,
VO_0000838,Ovilis Enzovax,
VO_0005203,COVID-19 DNA vaccine,
VO_0006013,Hepatitis B vaccine (recombinant) 3-antigen Al(OH)3 adjuvanted,
VO_0003416,Hepatitis B Surface Antigen Vaccine Injectable Suspension,798420
VO_0000513,Quail pox vaccine,
VO_0002826,Burkholderia pseudomallei asd mutant vaccine,
VO_0001615,"Bronchitis Conn Type, Live Virus Vaccine (USDA: 1231.15)",
VO_0002217,"Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus, Live Canarypox Vector Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 4639.R1)",
VO_0003682,Fluvirin 2016-2017 Injectable Product,1801156
VO_0007216,Algenpantucel-L Vaccine,
VO_0012177,Lassa Fever Virus vaccine,
VO_0001797,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.02),
VO_0001640,Bursal Disease Live Virus Vaccine (USDA: 1271.10),
VO_0003174,DTP-ActHIB,
VO_0002979,Infectious Hematopoietic Necrosis Virus NV mutant vaccine,
VO_0004476,B. anthracis DNA vaccine pTPA-PA63,
VO_0003785,Flucelvax Quadrivalent 2016-2017 Injectable Product,1801610
VO_0015058,"Mumps Virus Vaccine Live, Jeryl Lynn Strain Injectable Product",1156380
VO_0007605,FVAX vaccine,
VO_0007186,1(SOCS1)-silenced dendritic cell (DC) Vaccine,
VO_0002332,Bovine Rhinotracheitis Vaccine-Haemophilus Somnus-Mannheimia Haemolytica-Pasteurella Multocida-Salmonella Typhimurium Bacterin-Toxoid,
VO_0002104,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.23),
VO_0004519,Herpes Simplex Virus Type 1 DNA Vaccine pRSC-gD-IL-21,
VO_0003398,"tetanus toxoid vaccine, inactivated Injectable Suspension",374444
VO_0003327,pneumococcal capsular polysaccharide type 22F vaccine 0.05 MG/ML,854955
VO_0004505,Avian influenza virus DNA vaccine pCMV-HA,
VO_0003680,Fluvirin 2015-2016 vaccine 0.5 ML Prefilled Syringe,1659983
VO_0005153,AdCOVID,
VO_0001949,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1185.20),
VO_0000640,Clostridium tetani vaccine,
VO_0001934,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4439.00),
VO_0015048,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 25000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML [M-M-R II]",804184
VO_0003183,Diphtheria-Tetanus-Pertussis-Poliovirus-Hepatitis B vaccine foreign to USA,
VO_0011428,C. abortus DNA vaccine encoding GatC,
VO_0005205,COVID-19 virus-like particle vaccine,
VO_0006014,hepatitis B vaccine adolescent/high risk infant dosage,
VO_0003419,Hepatitis B Surface Antigen Vaccine Prefilled Syringe,798425
VO_0001534,Quail Pox Live Virus Vaccine (USDA: 18E1.10),
VO_0002513,Plasmodium berghei vaccine,
VO_0001616,"Bronchitis Delaware Type, Modified Live Virus Vaccine (USDA: 1231.1D)",
VO_0002218,Canine Distemper-Adenovirus Type 2-Parainfluenza Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 4659.20),
VO_0004736,ALVAC-WNV-PrM/E (dogs and cats),
VO_0002827,Burkholderia pseudomallei purM mutant vaccine,
VO_0007200,Adenovirus 5-CD40 Ligand Vaccine,
VO_0012167,Hantavirus vaccine,
VO_0001641,Bursal Disease Live Virus Vaccine (USDA: 1271.11),
VO_0001511,Porcine respiratory and reproductive syndrome virus vaccine,
VO_0003867,Hiberix Injectable Product,1169861
VO_0004321,IHNV DNA vaccine pCMV4-G,
VO_0004477,B. anthracis DNA vaccine pLAMP1-PA63,
VO_0003786,influenza A virus A/Brisbane/10/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Hong Kong/259/2010 antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax Quadrivalent 2016-2017],1801608
VO_0015059,"Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML Injectable Solution",798375
VO_0001879,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida-Salmonella Typhimurium Bacterin-Toxoid (USDA: 4109.20),
VO_0007606,GM-CSF transfected cells vaccine,
VO_0007196,Ad5-yCD/mutTKSR39rep-hIL12 Vaccine,
VO_0002105,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.25),
VO_0004520,Herpes Simplex Virus Type 1 DNA Vaccine encoding 5gP,
VO_0003400,"tetanus toxoid vaccine, inactivated Prefilled Syringe",792155
VO_0003330,pneumococcal capsular polysaccharide type 4 vaccine 0.05 MG/ML,854963
VO_0004568,Influenza virus DNA vaccine M2-DNA/M2-Ad,
VO_0003686,Fluvirin 2016-2017 vaccine 0.5 ML Prefilled Syringe,1801163
VO_0005169,GRAd-COV2,
VO_0001950,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1185.22),
VO_0003534,Corynebacterium vaccine,
VO_0001935,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4439.20),
VO_0015051,M-M-R II Injectable Product,1184336
VO_0003184,Diphtheria-Tetanus-Pertussis-Poliovirus vaccine foreign to USA,
VO_0011429,C. abortus DNA vaccine encoding OmlA,
VO_0005204,"COVID-19 live, attenuated vaccine",
VO_0006015,hepatitis B vaccine unspecified formulation,
VO_0003177,Diphtheria-Tetanus-Pertussis-Poliovirus-ACT-Hib vaccine,
VO_0012178,canine distemper virus vaccine,
VO_0011436,B. pseudomallei Subunit LolC Protein Vaccine,
VO_0001617,"Bronchitis Georgia Type, Live Virus Vaccine (USDA: 1231.1J)",
VO_0000951,Bayovac CSF E2,
VO_0002403,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin,
VO_0007075,Tumor Cell Derivative Vaccine,
VO_0012163,Marburg Virus vaccine,
VO_0001799,"Porcine Reproductive & Respiratory Syndrome Reproductive & Respiratory Form, Modified Live Virus Vaccine (USDA: 19T1.20)",
VO_0001642,Bursal Disease Live Virus Vaccine (USDA: 1271.12),
VO_0003868,"Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.07 MG/ML [Hiberix]",1300809
VO_0004322,IHNV DNA vaccine pCMV4-N encoding the nucleoprotein,
VO_0004478,B. anthracis DNA vaccine pTPA-P,
VO_0003792,Flucelvax Quadrivalent 2017-2018 Injectable Product,1928536
VO_0000725,Dengue virus vaccine,
VO_0007607,gp100 Vaccine,
VO_0007207,Adenovirus RSV-TK Vaccine,
VO_0002106,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.27),
VO_0004521,Herpes Simplex Virus 2 DNA Vaccine Vaxfectin-gD2,
VO_0005435,"SARS-COV-2 COVID-19 mRNA, bivalent, original/Omicron BA.1, Non-US Vaccine Product (Comirnaty Bivalent), Pfizer-BioNTech",
VO_0003331,pneumococcal capsular polysaccharide type 8 vaccine 0.05 MG/ML,854971
VO_0004620,vFP89-H5,
VO_0003692,Fluvirin 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928982
VO_0005189,hAd5-COVID-19,
VO_0002359,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Campylobacter Fetus-Haemophilus Somnus-Leptospira Canicola-Grippotyphosa-HardjoIcterohaemorrhagiae-Pomona Bacterin,
VO_0000735,Corynebacterium diphtheriae vaccine,
VO_0000418,Menactra injection 0.5mL vial,
VO_0002356,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Leptospira Grippotyphosa-Hardjo-Pomona Bacterin,
VO_0001255,polysaccharide subunit vaccine,
VO_0011430,C. abortus DNA vaccine encoding MOMP,
VO_0005201,COVID-19 inactivated vaccine,
VO_0011404,Hepatitis B virus DNA vaccine pVAX-PS,
VO_0015015,"0.5 ML Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.068 MG/ML Injection",1300466
VO_0001536,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.00),
VO_0011438,B. pseudomallei Subunit PotF Protein Vaccine,
VO_0001759,Parvovirus Modified Live Virus Vaccine (USDA: 18M1.29),
VO_0000981,Porcilis Pesti,
VO_0002402,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterin,
VO_0002337,Bovine Rhinotracheitis-Parainfluenza 3 Vaccine-Mannheimia Haemolytica-Pasteurella Multocida Bacterin,
VO_0007294,Autologous Expanded Mesenchymal Stem Cells OTI-010 Vaccine,
VO_0000762,Leishmania vaccine,
VO_0001800,"Porcine Reproductive & Respiratory Syndrome Reproductive & Respiratory Form, Modified Live Virus Vaccine (USDA: 19T1.21)",
VO_0001643,Bursal Disease Live Virus Vaccine (USDA: 1271.13),
VO_0000407,recombinant O. anthropi 49237SOD,
VO_0004420,IHNV DNA vaccine pCDNA-G encoding G,
VO_0004479,B. anthracis DNA vaccine pIMS-120 encoding PA,
VO_0003793,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP2050/2015 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Hong Kong/259/2010 antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax Quadrivalent 2017-2018],1928534
VO_0007610,GVAX Pancreatic Cancer Vaccine,
VO_0007228,Allogeneic Large Multivalent Immunogen Melanoma Vaccine LP2307,
