ID,Label,RXN
VO_0003250,pneumococcal capsular polysaccharide type 6B vaccine,854966
VO_0004878,Adenovirus Type 7 Vaccine Live Pill,1153661
VO_0003391,"acellular pertussis vaccine, inactivated 0.116 MG/ML",829893
VO_0003974,Kinrix Injectable Product,1171400
VO_0003506,"Influenza Virus Vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.09 MG/ML",1111368
VO_0000097,RotaTeq,496892
VO_0003947,CERVARIX 0.5 ML Prefilled Syringe,1301891
VO_0003252,pneumococcal capsular polysaccharide type 23F vaccine,854956
VO_0003392,"acellular pertussis vaccine, inactivated 96 UNT/ML",801826
VO_0003975,"acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",830550
VO_0003524,"Influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.03 MG/ML",857922
VO_0003954,0.5 ML Ixiaro 0.012 MG/ML Prefilled Syringe,1300783
VO_0003253,pneumococcal capsular polysaccharide type 7F vaccine,854968
VO_0003976,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",1657886
VO_0003797,Shingrix Injectable Product,1986826
VO_0003525,"Influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.09 MG/ML",1111369
VO_0003842,"poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML",763097
VO_0015048,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 25000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML [M-M-R II]",804184
VO_0003522,"Influenza B virus vaccine, B-Wisconsin-1-2010-like virus 0.09 MG/ML",1304310
VO_0003843,"poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML",763099
VO_0003255,pneumococcal capsular polysaccharide type 5 vaccine,854972
VO_0015051,M-M-R II Injectable Product,1184336
VO_0004815,"Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain",805573
VO_0003527,"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML",1427023
VO_0003844,"poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML",763101
VO_0003561,pneumococcal capsular polysaccharide type 9V vaccine,854974
VO_0003528,"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.09 MG/ML",1429576
VO_0003959,pneumococcal capsular polysaccharide type 10A vaccine,854946
VO_0004870,Menomune A/C/Y/W-135 Injectable Product,1183840
VO_0003529,"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.12 MG/ML",1429589
VO_0003949,"Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated",1300779
VO_0004882,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.1 MG/ML [Menomune A/C/Y/W-135],568054
VO_0003530,"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 50000000 MG/ML",1543760
VO_0003372,"Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML",1876704
VO_0003333,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine,901636
VO_0003838,PEDIARIX Injectable Product,1178815
VO_0003918,FLUAD 2015-2016 vaccine Prefilled Syringe,1724004
VO_0003375,"Yellow-Fever Virus Vaccine, 17D-204 strain Injectable Product",1162391
VO_0003334,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine,901620
VO_0003671,PedvaxHIB Injectable Product,1184551
VO_0003922,Fluad 2016-2017 vaccine Prefilled Syringe,1801080
VO_0003379,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection",1658238
VO_0003257,Hepatitis B Surface Antigen Vaccine 0.005 MG/ML,830236
VO_0003335,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine,798220
VO_0003672,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML [PedvaxHIB],798449
VO_0003926,Fluad 2017-2018 vaccine Prefilled Syringe,1928963
VO_0003381,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML",804188
VO_0003433,Hepatitis A Vaccine (Inactivated) Strain HM175,798361
VO_0003337,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine,798222
VO_0003970,Pentacel Injectable Product,1184583
VO_0003930,Fluad 2018-2019 vaccine Prefilled Syringe,2050761
VO_0003421,Hepatitis B Surface Antigen Vaccine Injection,1657681
VO_0003496,"Influenza Virus Vaccine, Inactivated A-Christchurch-16-2010 NIB-74 (H1N1) (A-California-7-2009) strain",1116738
VO_0003338,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine,901624
VO_0003798,"Varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML [Shingrix]",1986827
VO_0003971,"acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Pentacel]",805376
VO_0003432,Hepatitis A Vaccine (Inactivated) Strain HM175 Prefilled Syringe,798476
VO_0003514,"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-179A (H1N1) strain",1005929
VO_0003339,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine,798224
VO_0003563,Pneumovax 23 Injectable Product,1182409
VO_0003435,Hepatitis A Vaccine (Inactivated) Strain HM175 Injection,1658057
VO_0003517,"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-181 (H1N1) strain",1006250
VO_0003340,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine,798226
VO_0003575,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 14 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 15B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 17F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 18C vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 2 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 20 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 22F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 23F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 3 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 33F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 4 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 5 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 6B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 7F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 8 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9N vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9V vaccine 0.05 MG/ML [Pneumovax 23],854979
VO_0003436,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injection,1658065
VO_0003504,"Influenza Virus Vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain",1005931
VO_0003572,ProQuad Injectable Product,1179526
VO_0003467,"Hepatitis A Vaccine, Inactivated Injection",1658099
VO_0003523,"Influenza Virus Vaccine, Inactivated B-Brisbane-60-2008",857921
VO_0003342,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine,798228
VO_0003577,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 20000 UNT/ML [ProQuad]",1292441
VO_0003939,"L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML",798269
VO_0003416,Hepatitis B Surface Antigen Vaccine Injectable Suspension,798420
VO_0003521,"Influenza B virus vaccine, B-Wisconsin-1-2010-like virus",1303855
VO_0015052,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain",804179
VO_0003343,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine,901631
VO_0003864,RabAvert Injectable Product,1177669
VO_0015047,"L1 protein, Human papillomavirus type 6 Vaccine 0.06 MG/ML",1597090
VO_0003526,"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus",1427022
VO_0003347,meningococcal group B vaccine,1593128
VO_0003344,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine,901633
VO_0003865,rabies virus vaccine flury-lep strain 2.5 UNT/ML [RabAvert],830461
VO_0015040,"L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML",798263
VO_0003916,FLUAD 2015-2016 Injectable Product,1724005
VO_0003364,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle,1601236
VO_0003345,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine,798230
VO_0003869,HIBERIX vaccine 0.5 ML Injection,1300810
VO_0015025,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Tenivac]",1657592
VO_0015032,"L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML",798267
VO_0003917,influenza A virus A/California/7/2009 (H1N1) antigen 0.015 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.015 MG/ML / influenza B virus B/Brisbane/9/2014 antigen 0.015 MG/ML [FLUAD 2015-2016],1724011
VO_0003368,Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen,1593130
VO_0003346,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine,798232
VO_0015024,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Prefilled Syringe [Tenivac]",1190918
VO_0003941,"Human papillomavirus type 18, L1 capsid protein (residues 2-472) vaccine",1301887
VO_0003920,Fluad 2016-2017 Injectable Product,1801081
VO_0003351,meningococcal group B vaccine Injectable Product,1593132
VO_0015026,Tenivac Injectable Product,1190914
VO_0015033,"L1 protein, Human papillomavirus type 18 Vaccine 0.08 MG/ML",1597084
VO_0003419,Hepatitis B Surface Antigen Vaccine Prefilled Syringe,798425
VO_0003921,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML [Fluad 2016-2017],1801079
VO_0015027,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Tenivac]",1190912
VO_0003938,"L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML",798265
VO_0003924,Fluad 2017-2018 Injectable Product,1928964
VO_0003851,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML [Typhim VI]",807223
VO_0003384,"tetanus toxoid vaccine, inactivated",798306
VO_0003940,"Human papillomavirus type 16, L1 capsid protein (residues 2-471) vaccine",1301885
VO_0004865,MenHibrix Injectable Product,1437915
VO_0003925,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML [Fluad 2017-2018],1928962
VO_0003451,Twinrix Injectable Product,1186748
VO_0003399,"tetanus toxoid vaccine, inactivated Injectable Product",1164846
VO_0015041,"L1 protein, Human papillomavirus type 16 Vaccine 0.12 MG/ML",1597083
VO_0004866,"Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.005 MG/ML / meningococcal group C polysaccharide 0.01 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.01 MG/ML [MenHibrix]",1437913
VO_0003928,Fluad 2018-2019 Injectable Product,2050762
VO_0003410,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injectable Product,1159739
VO_0003455,"diphtheria toxoid vaccine, inactivated",798304
VO_0015042,"L1 protein, Human papillomavirus type 31 Vaccine 0.04 MG/ML",1597085
VO_0004863,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.01 MG/ML,1437845
VO_0003929,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML [Fluad 2018-2019],2050760
VO_0003413,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML,798445
VO_0015020,Hepatitis B Surface Antigen Vaccine Injection [Engerix-B],1658143
VO_0003357,Vivotif Oral Product,1187406
VO_0015043,"L1 protein, Human papillomavirus type 33 Vaccine 0.04 MG/ML",1597086
VO_0004864,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.1 MG/ML,350966
VO_0003430,Hepatitis A Vaccine (Inactivated) Strain HM175 Injectable Product,1160325
VO_0004856,ACAM2000 Injectable Product,1165898
VO_0003358,Vivotif Pill,1187407
VO_0015044,"L1 protein, Human papillomavirus type 45 Vaccine 0.04 MG/ML",1597087
VO_0015064,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML,797630
VO_0003431,Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML,798362
VO_0004858,smallpox vaccine live vaccinia virus 500000000 UNT/ML [ACAM2000],833084
VO_0003428,Typhoid Vaccine Live Ty21a 2000000000 UNT [Vivotif],1799447
VO_0015045,"L1 protein, Human papillomavirus type 52 Vaccine 0.04 MG/ML",1597088
VO_0015066,Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML,797632
VO_0003691,Fluvirin 2017-2018 vaccine Prefilled Syringe,1928978
VO_0003434,Hepatitis A Vaccine (Inactivated) Strain HM175 720 UNT/ML,803362
VO_0004855,smallpox vaccine live vaccinia virus 500000000 UNT/ML,833080
VO_0015046,"L1 protein, Human papillomavirus type 58 Vaccine 0.04 MG/ML",1597089
VO_0015071,Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML,797634
VO_0003582,Fluzone 2015-2016 High-Dose vaccine 0.5 ML Prefilled Syringe,1658714
VO_0003150,Hepatitis B surface antigen vaccine,797752
VO_0003983,DAPTACEL vaccine 0.5 ML Injection,1300310
VO_0015054,Rubella Virus Vaccine Live (Wistar RA 27-3 Strain),762817
VO_0003665,YF-Vax Injectable Product,1186641
VO_0003279,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML,1292430
VO_0015068,Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML,797634
VO_0003588,Fluzone 2016-2017 High-Dose vaccine 0.5 ML Prefilled Syringe,1801183
VO_0003774,Flulaval Quadrivalent 2018-2019 Injectable Product,2048973
VO_0003886,Flublok 2015-2016,1660925
VO_0003274,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection,1658006
VO_0004887,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.1 MG/ML,350965
VO_0003593,Fluzone 2017-2018 high-dose vaccine 0.5 ML Prefilled Syringe,1928344
VO_0003775,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Flulaval Quadrivalent 2018-2019],2048971
VO_0003275,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML,1292423
VO_0004840,Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML,901516
