index,ID,Label,Vaccine Name,Definition,Editor Note,FDA Vaccine Indications,RXN,CVX_Codes
VO_0007098,VO_0007098,prime/boost DC-TRP-2 melanoma vaccine,,"rime/boost vaccination proved to be of no advantage or even detrimental in therapeutic settings in B16F1 and transgenic adenocarcinoma of the mouse prostate (TRAMP) models, respectively",,,,
VO_0002100,VO_0002100,Canine Distemper-Adenovirus Type 2-Parainfluenza Modified Live Virus Vaccine (USDA: 13C1.20),,,,,,
VO_0004368,VO_0004368,Herpes simplex virus DNA vaccine gB-DNA encoding gB,,,,,,
VO_0003385,VO_0003385,"tetanus toxoid vaccine, inactivated 10 UNT/ML",,,,,798307,
VO_0003321,VO_0003321,pneumococcal capsular polysaccharide type 18C vaccine 0.05 MG/ML,,,,,854945,
VO_0004500,VO_0004500,Influenza virus DNA vaccine pCMVH5HA,,,,,,
VO_0003907,VO_0003907,Flublok Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe,,,,,2050382,
VO_0000052,VO_0000052,Havrix,"Hepatitis A Vaccine, Inactivated",,,For active immunization against disease caused by hepatitis A virus (HAV) for persons 12 months of age and older.,203439,"['52', '83']"
VO_0000053,VO_0000053,Neisseria meningitidis vaccine,,A bacterial vaccine that prevents Neisseria meningitidis infection.,,,,
VO_0001932,VO_0001932,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.25),,,generated using OntoRat,,,
VO_0001863,VO_0001863,"Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 16E5.23)",,,generated using OntoRat,,,
VO_0000064,VO_0000064,Infanrix,Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed,,,"For active immunization against diphtheria, tetanus, and pertussis as a 5-dose series in infants and children 6 weeks to 7 years of age.",224903,['20']
VO_0001396,VO_0001396,cocktail vaccine containing subunit vaccine and inactivated whole organism vaccine,,a cocktail vaccine that contains both subunit vaccine and inactivated whole organism vaccines.,,,,
VO_0004689,VO_0004689,M.S-Delta-esx-3-IKEPLUS (M. tuberculosis),,,,,,
VO_0003307,VO_0003307,"L1 protein, Human papillomavirus type 52 Vaccine",,,,,1596933,
VO_0004357,VO_0004357,Hepatitis B DNA vaccine pS encoding major envelope proteins,,,,,,
VO_0011413,VO_0011413,B. pertussis DNA vaccine encoding TcfA,,,,,,
VO_0011490,VO_0011490,C. posadasii subunit GEL1 protein vaccine,,a Coccidioides vaccine that contains C. posadasii subunit GEL1 protein,,,,
VO_0001611,VO_0001611,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.1M)",,,generated using OntoRat,,,
VO_0002215,VO_0002215,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 4639.27),,,generated using OntoRat,,,
VO_0004205,VO_0004205,BOOSTRIX vaccine Prefilled Syringe,,,,,806594,
VO_0002856,VO_0002856,Mannheimia haemolytica aroA mutant vaccine,,,,,,
VO_0003544,VO_0003544,Rubulavirus vaccine,,A vaccine that is used against an infection by a pathogen under Rubulavirus.,,,,
VO_0001794,VO_0001794,Haemophilus Parasuis Avirulent Live Culture Vaccine (USDA: 19J1.00),,,generated using OntoRat,,,
VO_0001636,VO_0001636,Bursal Disease Live Virus Vaccine (USDA: 1271.01),,,,,,
VO_0005415,VO_0005415,mRNA-1273.214,,A SARS-CoV-2 bivalent mRNA vaccine by Moderna that contains the mRNA-1273 COVID-19 vaccine and the mRNA-1273.214 Omicron booster,,,,
VO_0004270,VO_0004270,B. anthracis PA protein Vaccine with TMDP,,,,,,
VO_0003746,VO_0003746,Afluria Quadrivalent 2017-2018 Injectable Product,,,,,1942165,
VO_0001531,VO_0001531,Pigeon Pox Live Virus Vaccine (USDA: 1881.10),,,,,,
VO_0007596,VO_0007596,CVB4/p24(73(3)) vaccine,,,,,,
VO_0005469,VO_0005469,"trivalent poliovirus vaccine, live, oral",,A poliovirus vaccine that contains three types of poliovirus and uses poliovirus particles that have been grown under controlled conditions and then killed to prevent disease caused from the vaccine.,,,,
VO_0007108,VO_0007108,Synchotrope TA2M Vaccine,,"A recombinant plasmid DNA vaccine that encodes two peptides, tyrosinase 207Ð216 and tyrosinase 1Ð17, both of which are derived from human tyrosinase.",,,,
VO_0004369,VO_0004369,Herpes simplex virus DNA vaccine gBDNA encoding gB,,,,,,
VO_0002408,VO_0002408,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Vaccine,,,,,,
VO_0003401,VO_0003401,"tetanus toxoid vaccine, inactivated 20 UNT/ML",,,,,801712,
VO_0003322,VO_0003322,pneumococcal capsular polysaccharide type 19A vaccine 0.05 MG/ML,,,,,854947,
VO_0004501,VO_0004501,Influenza virus DNA vaccine p-Beta-actinH7HA,,,,,,
VO_0003720,VO_0003720,Afluria 2015-2016 0.5 ML Prefilled Syringe,,,,,1661807,
VO_0004718,VO_0004718,rCMV-TT,,,,,,
VO_0007079,VO_0007079,Remestemcel-L Vaccine,,"Human mesenchymal stem cells (MSCs) harvested from bone marrow of healthy adult donors and expanded ex vivo, with potential immunosuppressive activity. Remestemcel-L cells are hypo-immunogenic due to lack of major histocompatibility II (MHC II) molecule expression, eliciting little, if any, host immune response upon intravenous infusion. Infusion of allogeneic MSCs may result in: a) increased production of anti-inflammatory cytokines, such as interleukin-10, prostaglandin E, and hepatocyte growth factor; b) decreased mononuclear phagocyte expression of indoleamine 2,3,-dioxygenase, which catabolizes L-tryptophan into its pro-inflammatory metabolites; and c) modulated dendritic cell (DC)maturation and disrupted activities of natural killer (NK) cells and CD8+ and CD4+ T cells. In addition, pluripotent MSCs, upon administration, may be recruited to damaged tissue sites, differentiating along specific lineages when stimulated.",,,,
VO_0000054,VO_0000054,IPOL,Poliovirus Vaccine Inactivated (Monkey Kidney Cell),"IPOL, Poliovirus Vaccine Inactivated is a sterile suspension of three types of poliovirus: Type 1 (Mahoney), Type 2 (MEF-1), and Type 3 (Saukett). IPOL vaccine is a highly purified, inactivated poliovirus vaccine with enhanced potency.",,"IPOL vaccine is indicated for active immunization of infants (as young as 6 weeks of age), children and adults for the prevention of poliomyelitis caused by poliovirus Types 1, 2, and 3.",287617,['10']
VO_0003080,VO_0003080,Nimenrix,,,,,,
VO_0002331,VO_0002331,Bovine Rhinotracheitis Vaccine-Haemophilus Somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid,,,,,,
VO_0004903,VO_0004903,Inactivated monovalent influenza A/H5N1 (3.75 mcg hemagglutinin [HA] A/Indonesia/05/2005) split-virus (SV) vaccine (Sanofi),,Inactivated monovalent influenza A/H5N1 (3.75 mcg hemagglutinin [HA] A/Indonesia/05/2005) split-virus (SV) vaccine (Sanofi),,,,
VO_0002490,VO_0002490,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Haemophilus somnus-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,,,,,,
VO_0003181,VO_0003181,Measles virus vaccine foreign to USA,,A measles virus vaccine manufactured outside of the U.S.,,,,
VO_0011410,VO_0011410,M. tuberculosis DNA Vaccine encoding Ag85B Protein,,,,,,
VO_0003308,VO_0003308,"L1 protein, Human papillomavirus type 58 Vaccine",,,,,1596934,
VO_0004358,VO_0004358,Hepatitis B DNA vaccine pCMV-HBs encoding HBsAg,,,,,,
VO_0011498,VO_0011498,B. pertussis FhaB and 69 kDa OMP protein vaccine,,,,,,
VO_0001612,VO_0001612,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.20)",,,,,,
VO_0002216,VO_0002216,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 4639.28),,,generated using OntoRat,,,
VO_0003872,VO_0003872,COMVAX Injection 0.5 ML Injection,,,,,798443,
VO_0001637,VO_0001637,Bursal Disease Live Virus Vaccine (USDA: 1271.02),,,,,,
VO_0001105,VO_0001105,Lawsonia intracellularis vaccine,,a bacterial vaccine against Lawsonia intracellularis infection,,,,
VO_0005416,VO_0005416,mRNA-1273.529,,A SARS-CoV-2 mRNA booster vaccine by Moderna that targets the Omicron variant,,,,
VO_0004900,VO_0004900,MERS vaccine,,,,,,
VO_0004386,VO_0004386,B. anthracis DNA vaccine PA,,,,,,
VO_0003747,VO_0003747,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/46/2015 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2017-2018],,,,,1942163,
VO_0015056,VO_0015056,"Mumps Virus Vaccine Live, Jeryl Lynn Strain",,,,,798372,
VO_0007597,VO_0007597,Dendritic Cell-Idiotype-Keyhole Limpet Hemocyanin Vaccine,,,,,,
VO_0007114,VO_0007114,TriMixDC-MEL Vaccine,,,,,,
VO_0002101,VO_0002101,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.20),,,,,,
VO_0004370,VO_0004370,Herpes simplex virus DNA vaccine encoding gD and gB from HSV-2 strain Curtis,,,,,,
VO_0003406,VO_0003406,"tetanus toxoid vaccine, inactivated 8 UNT/ML",,,,,316782,
VO_0003324,VO_0003324,pneumococcal capsular polysaccharide type 19F vaccine 0.05 MG/ML,,,,,854949,
VO_0004502,VO_0004502,Influenza virus DNA vaccine pCAGGoptiHA,,,,,,
VO_0003726,VO_0003726,afluria 2016-2017 vaccine 0.5 ML Prefilled Syringe,,,,,1799403,
VO_0007213,VO_0007213,AFP Gene Hepatocellular Carcinoma Vaccine,,"A cancer vaccine composed of naked plasmid DNA of the gene for the tumor-associated antigen alpha-fetoprotein (AFP), a macromolecule that acts as a specific immunologic target for hepatocellular carcinoma. This agent exerts an antitumor effect by inducing cytotoxic T-lymphocytes to attack AFP-expressing tumor cells.",,,,
VO_0003869,VO_0003869,HIBERIX vaccine 0.5 ML Injection,,,,,1300810,
VO_0000063,VO_0000063,Imovax Rabies (USA),Rabies Vaccine,"The Imovax® 9 Rabies Vaccine is a sterile, stable, freeze-dried 10 suspension of rabies virus prepared from strain PM-1503-3M.",,Vaccine for use in all age groups for pre-exposure and post-exposure prophylaxis against rabies.,1659730,['18']
VO_0000587,VO_0000587,Bordetella vaccine,,a bacterial vaccine against infection of Bordetella bacterial infection,,,,
VO_0001933,VO_0001933,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Haemophilus somnus-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4489.30),,,,,,
VO_0001877,VO_0001877,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 45H5.20),,,generated using OntoRat,,,
VO_0003974,VO_0003974,Kinrix Injectable Product,,,,,1171400,
VO_0003418,VO_0003418,Mumps-Rubella Vaccine,,,,,,
VO_0011412,VO_0011412,M. tuberculosis Mtb72F protein subunit vaccine,,,,,,
VO_0003273,VO_0003273,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain,,,,,1292422,
VO_0004359,VO_0004359,Hepatitis B DNA vaccine pCEA/HBsAg encoding CEA and HBsAg,,,,,,
VO_0000844,VO_0000844,Art Vax,,,Live temperature-sensitive mutant strain; spray inhalation or drinking water,,,
VO_0001532,VO_0001532,Pigeon Pox Live Virus Vaccine (USDA: 1881.12),,,,,,
VO_0000758,VO_0000758,Plasmodium vivax vaccine,,,,,,
VO_0001613,VO_0001613,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.21)",,,,,,
VO_0002405,VO_0002405,Canine Distemper-Adenovirus Type 2-Coronavirus-Parvovirus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract,,,,,,
VO_0003676,VO_0003676,Fluvirin 2015-2016 Injectable Product,,,,,1657329,
VO_0001795,VO_0001795,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.00),,,,,,
VO_0001638,VO_0001638,Bursal Disease Live Virus Vaccine (USDA: 1271.04),,,,,,
VO_0000323,VO_0000323,Brucella abortus conjugate vaccine using L7/L12,,,,,,
VO_0004416,VO_0004416,B. anthracis DNA vaccine pDNA encoding PA,,,,,,
VO_0003752,VO_0003752,Afluria Quadrivalent 2018-2019 Injectable Product,,,,,2050794,
VO_0004709,VO_0004709,rvOka-HN (mumps virus),,,,,,
VO_0007601,VO_0007601,DNP-modified autologous vaccine,,,,,,
VO_0007119,VO_0007119,vaccinia melanoma cell lysates (VMCL) vaccine,,"Immunotherapy withÊVMCLÊwas not associated with a statistically significant improvement in OS or RFS, with CIs not ruling out important gains from such treatment.",,,,
VO_0002102,VO_0002102,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.21),,,,,,
VO_0004411,VO_0004411,Herpes simplex virus DNA vaccine pSIN-gB encoding gB,,,,,,
VO_0003407,VO_0003407,"tetanus toxoid vaccine, inactivated 4 UNT/ML",,,,,331444,
VO_0003325,VO_0003325,pneumococcal capsular polysaccharide type 2 vaccine 0.05 MG/ML,,,,,854951,
VO_0004503,VO_0004503,Influenza virus DNA vaccine pCAGGHA,,,,,,
VO_0003732,VO_0003732,Afluria 2017-2018 vaccine 0.5 ML Prefilled Syringe,,,,,1942132,
VO_0007367,VO_0007367,Cytokine-Induced Killer Cells Vaccine,,"A preparation of autologous lymphocytes with potential immunopotentiating and antineoplastic activities. Cytokine-induced killer (CIK) cells are CD3- and CD56-positive, non-major histocompatibility complex (MHC)-restricted, natural killer (NK)-like T lymphocytes, generated ex-vivo by incubation of peripheral blood lymphocytes (PBLs) with anti-CD3 monoclonal antibody, interleukin (IL)-2, IL-1, and interferon gamma (IFN-gamma) and then expanded. When reintroduced back to patients after autologous stem cell transplantation, CIK cells may recognize and kill tumor cells associated with minimal residual disease (MRD). CIK cells may have enhanced cytotoxic activity compared to lymphokine-activated killer (LAK) cells.",,,,
VO_0004996,VO_0004996,AdCLD-CoV19,,A SARS-CoV-2 replication-defective human adenovirus type 5/35 vector based vaccine expressing the S protein.,,,,
VO_0002357,VO_0002357,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Mannheimia Haemolytica Bacterin,,,,,,
VO_0000765,VO_0000765,Bordetella pertussis vaccine,,A bacterial vaccine that prevents against Bordetella pertussis infection that causes pertussis or whooping cough.,,,,
VO_0001878,VO_0001878,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 45H5.21),,,generated using OntoRat,,,
VO_0003975,VO_0003975,"acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",,,,,830550,
VO_0002488,VO_0002488,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Leptospira Pomona Bacterin,,,,,,
VO_0003182,VO_0003182,Mumps-Rubella Vaccine foreign to USA,,A Mumps-Rubella vaccine manufactured outside of the U.S.,,,,
VO_0000449,VO_0000449,Moraxella Bovis Bacterin Piliguard Pinkeye-1 Trivalent,,,,,,
VO_0003277,VO_0003277,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Product,,,,,1292424,
VO_0004360,VO_0004360,Hepatitis B DNA vaccine pCMV-S2.S encoding the HBV(ayw Strain) envelope protein.,,,,,,
VO_0003421,VO_0003421,Hepatitis B Surface Antigen Vaccine Injection,,,,,1657681,
VO_0001533,VO_0001533,Pigeon Pox Live Virus Vaccine (USDA: 1881.14),,,generated using OntoRat,,,
VO_0002825,VO_0002825,Burkholderia pseudomallei aroC deletion mutant vaccine,,,,,,
VO_0001614,VO_0001614,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.22)",,,generated using OntoRat,,,
VO_0002404,VO_0002404,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract,,,,,,
VO_0003677,VO_0003677,influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluvirin 2015-2016],,,,,1657327,
VO_0001796,VO_0001796,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.01),,,,,,
VO_0001639,VO_0001639,Bursal Disease Live Virus Vaccine (USDA: 1271.0A),,,,,,
VO_0003169,VO_0003169,Diphtheria-Tetanus-Whole Cell Pertussis-Haemophilus b vaccine,,"A combination vaccine with whole cell that protects against diphtheria, tetanus, pertussis, and Haemophilus influenzae type B.",,,,
VO_0000941,VO_0000941,Apex-IHN,,,DNA vaccine,,,
VO_0004417,VO_0004417,B. anthracis DNA vaccine LF pDNA encoding LF,,,,,,
VO_0003753,VO_0003753,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2018-2019],,,,,2050792,
VO_0011419,VO_0011419,Mumps HN Protein Subunit Vaccine,,,,,,
VO_0007604,VO_0007604,Flagrp170 vaccine,,,,,,
VO_0007120,VO_0007120,Vaccinia Melanoma Oncolysates (VMO) Vaccine,,,,,,
VO_0002103,VO_0002103,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.22),,,,,,
VO_0004412,VO_0004412,Herpes simplex virus DNA vaccine pCI-gB encoding gB,,,,,,
VO_0003397,VO_0003397,"tetanus toxoid vaccine, inactivated Injectable Solution",,,,,374054,
VO_0003326,VO_0003326,pneumococcal capsular polysaccharide type 20 vaccine 0.05 MG/ML,,,,,854953,
VO_0004504,VO_0004504,Avian influenza DNA vaccine pCMV-M,,,,,,
VO_0003738,VO_0003738,Afluria 2018-2019 vaccine 0.5 ML Prefilled Syringe,,,,,2050803,
VO_0005268,VO_0005268,authorized COVID-19 recombinant adenoviral vector vaccine,,,,,,
