,ID,VO_STR,RXN
50,VO_0003740,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2016-2017 Formula],1858960
51,VO_0005464,Non-US bivalent oral polio vaccine (types 1 and 3),
52,VO_0007595,CpG 7909/PF3512676 vaccine,
53,VO_0001481,Pigeonpox virus vaccine,
54,VO_0007098,prime/boost DC-TRP-2 melanoma vaccine,
55,VO_0002100,Canine Distemper-Adenovirus Type 2-Parainfluenza Modified Live Virus Vaccine (USDA: 13C1.20),
56,VO_0004368,Herpes simplex virus DNA vaccine gB-DNA encoding gB,
57,VO_0003385,"tetanus toxoid vaccine, inactivated 10 UNT/ML",798307
58,VO_0003321,pneumococcal capsular polysaccharide type 18C vaccine 0.05 MG/ML,854945
59,VO_0004500,Influenza virus DNA vaccine pCMVH5HA,
60,VO_0003907,Flublok Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe,2050382
61,VO_0000052,Havrix,203439
62,VO_0000053,Neisseria meningitidis vaccine,
63,VO_0001932,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.25),
64,VO_0001863,"Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 16E5.23)",
65,VO_0000064,Infanrix,224903
66,VO_0001396,cocktail vaccine containing subunit vaccine and inactivated whole organism vaccine,
67,VO_0004689,M.S-Delta-esx-3-IKEPLUS (M. tuberculosis),
68,VO_0003307,"L1 protein, Human papillomavirus type 52 Vaccine",1596933
69,VO_0004357,Hepatitis B DNA vaccine pS encoding major envelope proteins,
70,VO_0011413,B. pertussis DNA vaccine encoding TcfA,
71,VO_0011490,C. posadasii subunit GEL1 protein vaccine,
72,VO_0001611,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.1M)",
73,VO_0002215,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 4639.27),
74,VO_0004205,BOOSTRIX vaccine Prefilled Syringe,806594
75,VO_0002856,Mannheimia haemolytica aroA mutant vaccine,
76,VO_0003544,Rubulavirus vaccine,
77,VO_0001794,Haemophilus Parasuis Avirulent Live Culture Vaccine (USDA: 19J1.00),
78,VO_0001636,Bursal Disease Live Virus Vaccine (USDA: 1271.01),
79,VO_0005415,mRNA-1273.214,
80,VO_0004270,B. anthracis PA protein Vaccine with TMDP,
81,VO_0003746,Afluria Quadrivalent 2017-2018 Injectable Product,1942165
82,VO_0001531,Pigeon Pox Live Virus Vaccine (USDA: 1881.10),
83,VO_0007596,CVB4/p24(73(3)) vaccine,
84,VO_0005469,"trivalent poliovirus vaccine, live, oral",
85,VO_0007108,Synchotrope TA2M Vaccine,
86,VO_0004369,Herpes simplex virus DNA vaccine gBDNA encoding gB,
87,VO_0002408,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Vaccine,
88,VO_0003401,"tetanus toxoid vaccine, inactivated 20 UNT/ML",801712
89,VO_0003322,pneumococcal capsular polysaccharide type 19A vaccine 0.05 MG/ML,854947
90,VO_0004501,Influenza virus DNA vaccine p-Beta-actinH7HA,
91,VO_0003720,Afluria 2015-2016 0.5 ML Prefilled Syringe,1661807
92,VO_0004718,rCMV-TT,
93,VO_0007079,Remestemcel-L Vaccine,
94,VO_0000054,IPOL,287617
95,VO_0003080,Nimenrix,
96,VO_0002331,Bovine Rhinotracheitis Vaccine-Haemophilus Somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid,
97,VO_0004903,Inactivated monovalent influenza A/H5N1 (3.75 mcg hemagglutinin [HA] A/Indonesia/05/2005) split-virus (SV) vaccine (Sanofi),
98,VO_0002490,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Haemophilus somnus-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
99,VO_0003181,Measles virus vaccine foreign to USA,
100,VO_0011410,M. tuberculosis DNA Vaccine encoding Ag85B Protein,
101,VO_0003308,"L1 protein, Human papillomavirus type 58 Vaccine",1596934
102,VO_0004358,Hepatitis B DNA vaccine pCMV-HBs encoding HBsAg,
103,VO_0011498,B. pertussis FhaB and 69 kDa OMP protein vaccine,
104,VO_0001612,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.20)",
105,VO_0002216,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 4639.28),
106,VO_0003872,COMVAX Injection 0.5 ML Injection,798443
107,VO_0001637,Bursal Disease Live Virus Vaccine (USDA: 1271.02),
108,VO_0001105,Lawsonia intracellularis vaccine,
109,VO_0005416,mRNA-1273.529,
110,VO_0004900,MERS vaccine,
111,VO_0004386,B. anthracis DNA vaccine PA,
112,VO_0003747,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/46/2015 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2017-2018],1942163
113,VO_0015056,"Mumps Virus Vaccine Live, Jeryl Lynn Strain",798372
114,VO_0007597,Dendritic Cell-Idiotype-Keyhole Limpet Hemocyanin Vaccine,
115,VO_0007114,TriMixDC-MEL Vaccine,
116,VO_0002101,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.20),
117,VO_0004370,Herpes simplex virus DNA vaccine encoding gD and gB from HSV-2 strain Curtis,
118,VO_0003406,"tetanus toxoid vaccine, inactivated 8 UNT/ML",316782
119,VO_0003324,pneumococcal capsular polysaccharide type 19F vaccine 0.05 MG/ML,854949
120,VO_0004502,Influenza virus DNA vaccine pCAGGoptiHA,
121,VO_0003726,afluria 2016-2017 vaccine 0.5 ML Prefilled Syringe,1799403
122,VO_0007213,AFP Gene Hepatocellular Carcinoma Vaccine,
123,VO_0003869,HIBERIX vaccine 0.5 ML Injection,1300810
124,VO_0000063,Imovax Rabies (USA),1659730
125,VO_0000587,Bordetella vaccine,
126,VO_0001933,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Haemophilus somnus-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4489.30),
127,VO_0001877,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 45H5.20),
128,VO_0003974,Kinrix Injectable Product,1171400
129,VO_0003418,Mumps-Rubella Vaccine,
130,VO_0011412,M. tuberculosis Mtb72F protein subunit vaccine,
131,VO_0003273,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain,1292422
132,VO_0004359,Hepatitis B DNA vaccine pCEA/HBsAg encoding CEA and HBsAg,
133,VO_0000844,Art Vax,
134,VO_0001532,Pigeon Pox Live Virus Vaccine (USDA: 1881.12),
135,VO_0000758,Plasmodium vivax vaccine,
136,VO_0001613,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.21)",
137,VO_0002405,Canine Distemper-Adenovirus Type 2-Coronavirus-Parvovirus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract,
138,VO_0003676,Fluvirin 2015-2016 Injectable Product,1657329
139,VO_0001795,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.00),
140,VO_0001638,Bursal Disease Live Virus Vaccine (USDA: 1271.04),
141,VO_0000323,Brucella abortus conjugate vaccine using L7/L12,
142,VO_0004416,B. anthracis DNA vaccine pDNA encoding PA,
143,VO_0003752,Afluria Quadrivalent 2018-2019 Injectable Product,2050794
144,VO_0004709,rvOka-HN (mumps virus),
145,VO_0007601,DNP-modified autologous vaccine,
146,VO_0007119,vaccinia melanoma cell lysates (VMCL) vaccine,
147,VO_0002102,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.21),
148,VO_0004411,Herpes simplex virus DNA vaccine pSIN-gB encoding gB,
149,VO_0003407,"tetanus toxoid vaccine, inactivated 4 UNT/ML",331444
150,VO_0003325,pneumococcal capsular polysaccharide type 2 vaccine 0.05 MG/ML,854951
151,VO_0004503,Influenza virus DNA vaccine pCAGGHA,
152,VO_0003732,Afluria 2017-2018 vaccine 0.5 ML Prefilled Syringe,1942132
153,VO_0007367,Cytokine-Induced Killer Cells Vaccine,
154,VO_0004996,AdCLD-CoV19,
155,VO_0002357,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Mannheimia Haemolytica Bacterin,
156,VO_0000765,Bordetella pertussis vaccine,
157,VO_0001878,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 45H5.21),
158,VO_0003975,"acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",830550
159,VO_0002488,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Leptospira Pomona Bacterin,
160,VO_0003182,Mumps-Rubella Vaccine foreign to USA,
161,VO_0000449,Moraxella Bovis Bacterin Piliguard Pinkeye-1 Trivalent,
162,VO_0003277,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Product,1292424
163,VO_0004360,Hepatitis B DNA vaccine pCMV-S2.S encoding the HBV(ayw Strain) envelope protein.,
164,VO_0003421,Hepatitis B Surface Antigen Vaccine Injection,1657681
165,VO_0001533,Pigeon Pox Live Virus Vaccine (USDA: 1881.14),
166,VO_0002825,Burkholderia pseudomallei aroC deletion mutant vaccine,
167,VO_0001614,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.22)",
168,VO_0002404,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract,
169,VO_0003677,influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluvirin 2015-2016],1657327
170,VO_0001796,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.01),
171,VO_0001639,Bursal Disease Live Virus Vaccine (USDA: 1271.0A),
172,VO_0003169,Diphtheria-Tetanus-Whole Cell Pertussis-Haemophilus b vaccine,
173,VO_0000941,Apex-IHN,
174,VO_0004417,B. anthracis DNA vaccine LF pDNA encoding LF,
175,VO_0003753,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2018-2019],2050792
176,VO_0011419,Mumps HN Protein Subunit Vaccine,
177,VO_0007604,Flagrp170 vaccine,
178,VO_0007120,Vaccinia Melanoma Oncolysates (VMO) Vaccine,
179,VO_0002103,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.22),
180,VO_0004412,Herpes simplex virus DNA vaccine pCI-gB encoding gB,
181,VO_0003397,"tetanus toxoid vaccine, inactivated Injectable Solution",374054
182,VO_0003326,pneumococcal capsular polysaccharide type 20 vaccine 0.05 MG/ML,854953
183,VO_0004504,Avian influenza DNA vaccine pCMV-M,
184,VO_0003738,Afluria 2018-2019 vaccine 0.5 ML Prefilled Syringe,2050803
185,VO_0005268,authorized COVID-19 recombinant adenoviral vector vaccine,
186,VO_0001938,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Mannheimia Haemolytica Bacterin (USDA: 44A5.20),
187,VO_0000639,Clostridium vaccine,
188,VO_0003976,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",1657886
189,VO_0000315,inactivated vaccine,
190,VO_0002355,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
191,VO_0000743,Diphtheria-Tetanus-Pertussis-Poliovirus-Hepatitis B vaccine,
192,VO_0000838,Ovilis Enzovax,
193,VO_0005203,COVID-19 DNA vaccine,
194,VO_0006013,Hepatitis B vaccine (recombinant) 3-antigen Al(OH)3 adjuvanted,
195,VO_0003416,Hepatitis B Surface Antigen Vaccine Injectable Suspension,798420
196,VO_0000513,Quail pox vaccine,
197,VO_0002826,Burkholderia pseudomallei asd mutant vaccine,
198,VO_0001615,"Bronchitis Conn Type, Live Virus Vaccine (USDA: 1231.15)",
199,VO_0002217,"Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus, Live Canarypox Vector Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 4639.R1)",
200,VO_0003682,Fluvirin 2016-2017 Injectable Product,1801156
201,VO_0007216,Algenpantucel-L Vaccine,
202,VO_0012177,Lassa Fever Virus vaccine,
203,VO_0001797,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.02),
204,VO_0001640,Bursal Disease Live Virus Vaccine (USDA: 1271.10),
205,VO_0003174,DTP-ActHIB,
206,VO_0002979,Infectious Hematopoietic Necrosis Virus NV mutant vaccine,
207,VO_0004476,B. anthracis DNA vaccine pTPA-PA63,
208,VO_0003785,Flucelvax Quadrivalent 2016-2017 Injectable Product,1801610
209,VO_0015058,"Mumps Virus Vaccine Live, Jeryl Lynn Strain Injectable Product",1156380
210,VO_0007605,FVAX vaccine,
211,VO_0007186,1(SOCS1)-silenced dendritic cell (DC) Vaccine,
212,VO_0002332,Bovine Rhinotracheitis Vaccine-Haemophilus Somnus-Mannheimia Haemolytica-Pasteurella Multocida-Salmonella Typhimurium Bacterin-Toxoid,
213,VO_0002104,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.23),
214,VO_0004519,Herpes Simplex Virus Type 1 DNA Vaccine pRSC-gD-IL-21,
215,VO_0003398,"tetanus toxoid vaccine, inactivated Injectable Suspension",374444
216,VO_0003327,pneumococcal capsular polysaccharide type 22F vaccine 0.05 MG/ML,854955
217,VO_0004505,Avian influenza virus DNA vaccine pCMV-HA,
218,VO_0003680,Fluvirin 2015-2016 vaccine 0.5 ML Prefilled Syringe,1659983
219,VO_0005153,AdCOVID,
220,VO_0001949,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1185.20),
221,VO_0000640,Clostridium tetani vaccine,
222,VO_0001934,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4439.00),
223,VO_0015048,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 25000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML [M-M-R II]",804184
224,VO_0003183,Diphtheria-Tetanus-Pertussis-Poliovirus-Hepatitis B vaccine foreign to USA,
225,VO_0011428,C. abortus DNA vaccine encoding GatC,
226,VO_0005205,COVID-19 virus-like particle vaccine,
227,VO_0006014,hepatitis B vaccine adolescent/high risk infant dosage,
228,VO_0003419,Hepatitis B Surface Antigen Vaccine Prefilled Syringe,798425
229,VO_0001534,Quail Pox Live Virus Vaccine (USDA: 18E1.10),
230,VO_0002513,Plasmodium berghei vaccine,
231,VO_0001616,"Bronchitis Delaware Type, Modified Live Virus Vaccine (USDA: 1231.1D)",
232,VO_0002218,Canine Distemper-Adenovirus Type 2-Parainfluenza Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 4659.20),
233,VO_0004736,ALVAC-WNV-PrM/E (dogs and cats),
234,VO_0002827,Burkholderia pseudomallei purM mutant vaccine,
235,VO_0007200,Adenovirus 5-CD40 Ligand Vaccine,
236,VO_0012167,Hantavirus vaccine,
237,VO_0001641,Bursal Disease Live Virus Vaccine (USDA: 1271.11),
238,VO_0001511,Porcine respiratory and reproductive syndrome virus vaccine,
239,VO_0003867,Hiberix Injectable Product,1169861
240,VO_0004321,IHNV DNA vaccine pCMV4-G,
241,VO_0004477,B. anthracis DNA vaccine pLAMP1-PA63,
242,VO_0003786,influenza A virus A/Brisbane/10/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Hong Kong/259/2010 antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax Quadrivalent 2016-2017],1801608
243,VO_0015059,"Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML Injectable Solution",798375
244,VO_0001879,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida-Salmonella Typhimurium Bacterin-Toxoid (USDA: 4109.20),
245,VO_0007606,GM-CSF transfected cells vaccine,
246,VO_0007196,Ad5-yCD/mutTKSR39rep-hIL12 Vaccine,
247,VO_0002105,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.25),
248,VO_0004520,Herpes Simplex Virus Type 1 DNA Vaccine encoding 5gP,
249,VO_0003400,"tetanus toxoid vaccine, inactivated Prefilled Syringe",792155
250,VO_0003330,pneumococcal capsular polysaccharide type 4 vaccine 0.05 MG/ML,854963
251,VO_0004568,Influenza virus DNA vaccine M2-DNA/M2-Ad,
252,VO_0003686,Fluvirin 2016-2017 vaccine 0.5 ML Prefilled Syringe,1801163
253,VO_0005169,GRAd-COV2,
254,VO_0001950,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1185.22),
255,VO_0003534,Corynebacterium vaccine,
256,VO_0001935,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4439.20),
257,VO_0015051,M-M-R II Injectable Product,1184336
258,VO_0003184,Diphtheria-Tetanus-Pertussis-Poliovirus vaccine foreign to USA,
259,VO_0011429,C. abortus DNA vaccine encoding OmlA,
260,VO_0005204,"COVID-19 live, attenuated vaccine",
261,VO_0006015,hepatitis B vaccine unspecified formulation,
262,VO_0003177,Diphtheria-Tetanus-Pertussis-Poliovirus-ACT-Hib vaccine,
263,VO_0012178,canine distemper virus vaccine,
264,VO_0011436,B. pseudomallei Subunit LolC Protein Vaccine,
265,VO_0001617,"Bronchitis Georgia Type, Live Virus Vaccine (USDA: 1231.1J)",
266,VO_0000951,Bayovac CSF E2,
267,VO_0002403,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin,
268,VO_0007075,Tumor Cell Derivative Vaccine,
269,VO_0012163,Marburg Virus vaccine,
270,VO_0001799,"Porcine Reproductive & Respiratory Syndrome Reproductive & Respiratory Form, Modified Live Virus Vaccine (USDA: 19T1.20)",
271,VO_0001642,Bursal Disease Live Virus Vaccine (USDA: 1271.12),
272,VO_0003868,"Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.07 MG/ML [Hiberix]",1300809
273,VO_0004322,IHNV DNA vaccine pCMV4-N encoding the nucleoprotein,
274,VO_0004478,B. anthracis DNA vaccine pTPA-P,
275,VO_0003792,Flucelvax Quadrivalent 2017-2018 Injectable Product,1928536
276,VO_0000725,Dengue virus vaccine,
277,VO_0007607,gp100 Vaccine,
278,VO_0007207,Adenovirus RSV-TK Vaccine,
279,VO_0002106,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.27),
280,VO_0004521,Herpes Simplex Virus 2 DNA Vaccine Vaxfectin-gD2,
281,VO_0005435,"SARS-COV-2 COVID-19 mRNA, bivalent, original/Omicron BA.1, Non-US Vaccine Product (Comirnaty Bivalent), Pfizer-BioNTech",
282,VO_0003331,pneumococcal capsular polysaccharide type 8 vaccine 0.05 MG/ML,854971
283,VO_0004620,vFP89-H5,
284,VO_0003692,Fluvirin 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928982
285,VO_0005189,hAd5-COVID-19,
286,VO_0002359,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Campylobacter Fetus-Haemophilus Somnus-Leptospira Canicola-Grippotyphosa-HardjoIcterohaemorrhagiae-Pomona Bacterin,
287,VO_0000735,Corynebacterium diphtheriae vaccine,
288,VO_0000418,Menactra injection 0.5mL vial,
289,VO_0002356,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Leptospira Grippotyphosa-Hardjo-Pomona Bacterin,
290,VO_0001255,polysaccharide subunit vaccine,
291,VO_0011430,C. abortus DNA vaccine encoding MOMP,
292,VO_0005201,COVID-19 inactivated vaccine,
293,VO_0011404,Hepatitis B virus DNA vaccine pVAX-PS,
294,VO_0015015,"0.5 ML Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.068 MG/ML Injection",1300466
295,VO_0001536,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.00),
296,VO_0011438,B. pseudomallei Subunit PotF Protein Vaccine,
297,VO_0001759,Parvovirus Modified Live Virus Vaccine (USDA: 18M1.29),
298,VO_0000981,Porcilis Pesti,
299,VO_0002402,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterin,
